salary,2. deviation (x-xbar),3. squared deviation (x-xbar)^2,,"1. In this cell, find the average of cells a2 through a101.","4. In this cell, find the average of cells c2 through c101.","5. Finally, take the square root of the calculation described in cell f1."
59147.29,8560.9267,73289465.96,,50586.3633,113570640.2,10656.95267
61379.14,10792.7767,116484028.9,,,,
55683.19,5096.8267,25977642.41,,,,
56272.76,5686.3967,32335107.43,,,,
52055.88,1469.5167,2159479.332,,,,
47696.74,-2889.6233,8349922.816,,,,
60577.53,9991.1667,99823412.03,,,,
49793.44,-792.9233,628727.3597,,,,
35562.29,-15024.0733,225722778.5,,,,
58586.76,8000.3967,64006347.36,,,,
47091.37,-3494.9933,12214978.17,,,,
36906.96,-13679.4033,187126074.6,,,,
53479.66,2893.2967,8371165.794,,,,
67834.74,17248.3767,297506498.8,,,,
53018.8,2432.4367,5916748.3,,,,
60375.11,9788.7467,95819561.96,,,,
36566.91,-14019.4533,196545070.8,,,,
52905.58,2319.2167,5378766.102,,,,
51063.31,476.9467,227478.1546,,,,
65431.26,14844.8967,220370958,,,,
57071.83,6485.4667,42061278.32,,,,
30060.59,-20525.7733,421307369.6,,,,
42619.62,-7966.7433,63468998.81,,,,
52984.77,2398.4067,5752354.699,,,,
57871.28,7284.9167,53070011.33,,,,
41274.37,-9311.9933,86713219.22,,,,
24497.78,-26088.5833,680614178.6,,,,
47939.82,-2646.5433,7004191.439,,,,
42755.52,-7830.8433,61322106.79,,,,
57189.35,6602.9867,43599433.36,,,,
37216.45,-13369.9133,178754581.6,,,,
44742.99,-5843.3733,34145011.52,,,,
47119.04,-3467.3233,12022330.87,,,,
59269.48,8683.1167,75396515.63,,,,
53336.8,2750.4367,7564902.041,,,,
39719.54,-10866.8233,118087848.6,,,,
69473.2,18886.8367,356712600.5,,,,
39831.55,-10754.8133,115666009.1,,,,
58300.7,7714.3367,59510990.72,,,,
41726.66,-8859.7033,78494342.56,,,,
40283.35,-10303.0133,106152083.1,,,,
59652.4,9066.0367,82193021.45,,,,
40326.61,-10259.7533,105262537.8,,,,
28167.31,-22419.0533,502613950.9,,,,
51420.36,833.9967,695550.4956,,,,
55294.22,4707.8567,22163914.71,,,,
48116.14,-2470.2233,6102003.152,,,,
36780.47,-13805.8933,190602689.8,,,,
53628.89,3042.5267,9256968.72,,,,
48782.09,-1804.2733,3255402.141,,,,
33615.77,-16970.5933,288001037,,,,
41881.34,-8705.0233,75777430.65,,,,
64745.33,14158.9667,200476338,,,,
53482.58,2896.2167,8388071.173,,,,
48838.54,-1747.8233,3054886.288,,,,
57031.73,6445.3667,41542751.9,,,,
62821.03,12234.6667,149687069.3,,,,
60627.78,10041.4167,100830049.3,,,,
46568.52,-4017.8433,16143064.78,,,,
38977.05,-11609.3133,134776155.3,,,,
43250.62,-7335.7433,53813129.76,,,,
67502.5,16916.1367,286155680.9,,,,
54696.18,4109.8167,16890593.31,,,,
43003.14,-7583.2233,57505275.62,,,,
29156.83,-21429.5333,459224897.5,,,,
61230.07,10643.7067,113288492.3,,,,
56749.93,6163.5667,37989554.47,,,,
48373.77,-2212.5933,4895569.111,,,,
52428.26,1841.8967,3392583.453,,,,
29961.91,-20624.4533,425368073.9,,,,
54524.28,3937.9167,15507187.94,,,,
83017.28,32430.9167,1051764358,,,,
49290.55,-1295.8133,1679132.108,,,,
56375.66,5789.2967,33515956.28,,,,
64032.27,13445.9067,180792407,,,,
52947.6,2361.2367,5575438.753,,,,
61210.22,10623.8567,112866331.2,,,,
54438.94,3852.5767,14842347.23,,,,
48825.68,-1760.6833,3100005.683,,,,
54118.71,3532.3467,12477473.21,,,,
45305.73,-5280.6333,27885088.05,,,,
42361.59,-8224.7733,67646895.84,,,,
52852.52,2266.1567,5135466.189,,,,
62933.52,12347.1567,152452278.6,,,,
64330.23,13743.8667,188893871.9,,,,
48922.74,-1663.6233,2767642.484,,,,
27211.96,-23374.4033,546362729.6,,,,
62409.65,11823.2867,139790108.4,,,,
28981.92,-21604.4433,466751970.3,,,,
64913.67,14327.3067,205271717.3,,,,
55766,5179.6367,26828636.34,,,,
50748.04,161.6767,26139.35532,,,,
43990.34,-6596.0233,43507523.37,,,,
61828.33,11241.9667,126381815.3,,,,
45434.02,-5152.3433,26546641.48,,,,
45369.16,-5217.2033,27219210.27,,,,
54710.71,4124.3467,17010235.7,,,,
62222.43,11636.0667,135398048.2,,,,
44764.32,-5822.0433,33896188.19,,,,
50973.48,387.1167,149859.3394,,,,
