Timestamp,Please rank how engaged you are in Stats 95 on a scale from 1 to 10.,Please rank how much you think you're learning in Stats 95 on a scale from 1 to 10.
3/14/2013 18:42:17,10,10
3/14/2013 18:42:44,10,10
3/14/2013 18:42:58,7,8
3/14/2013 18:43:15,8,9
3/14/2013 18:43:27,9,9
3/14/2013 18:44:21,10,10
3/14/2013 18:44:50,8,6
3/14/2013 18:45:40,1,2
3/14/2013 18:45:48,9,9
3/14/2013 18:46:08,8,5
3/14/2013 18:46:09,1,1
3/14/2013 18:46:23,9,8.5
3/14/2013 18:46:43,2,2
3/14/2013 18:46:45,9,9
3/14/2013 18:47:07,1,1
3/14/2013 18:47:23,7,2
3/14/2013 18:47:39,10,10
3/14/2013 18:48:47,5,4
3/14/2013 18:49:18,2,5
3/14/2013 18:50:51,8,8
3/14/2013 18:50:57,1,1
3/14/2013 18:51:40,10,10
3/14/2013 18:51:55,7,6
3/14/2013 18:54:16,5,4
3/14/2013 18:54:59,8,8
3/14/2013 18:55:56,6,3
3/14/2013 18:57:40,7,7
3/14/2013 18:57:54,1,1
3/14/2013 19:00:22,10,3
3/14/2013 19:02:03,1,2
3/14/2013 19:03:07,7,6
3/14/2013 19:03:57,7,10
3/14/2013 19:10:21,10,9
3/14/2013 19:10:24,5,7
3/14/2013 19:10:34,6,10
3/14/2013 19:12:23,7,9
3/14/2013 19:12:54,7,6
3/14/2013 19:18:38,1,1
3/14/2013 19:20:41,8,9
3/14/2013 19:29:48,9,10
3/14/2013 19:31:14,7,9
3/14/2013 19:33:12,10,7
3/14/2013 19:36:06,2,1
3/14/2013 19:39:23,10,10
3/14/2013 19:39:45,9,8
3/14/2013 19:40:28,9,9
3/14/2013 19:42:32,10,9
3/14/2013 19:45:57,6,9
3/14/2013 19:46:47,8,5
3/14/2013 19:47:08,7,7
3/14/2013 19:47:38,9,10
3/14/2013 19:47:49,8,7
3/14/2013 19:49:54,5,7
3/14/2013 19:52:26,10,10
3/14/2013 20:20:43,10,10
3/14/2013 20:21:47,9,8
3/14/2013 20:01:23,9,9
3/14/2013 20:01:54,10,9
3/14/2013 20:02:21,7,1
3/14/2013 20:03:06,7,10
3/14/2013 20:06:37,8,10
3/14/2013 20:10:23,8,6
3/14/2013 20:11:22,10,5
3/14/2013 20:11:52,8,8
3/14/2013 20:13:09,4,2
3/14/2013 20:16:22,10,10
3/14/2013 20:16:22,9,10
3/14/2013 20:23:21,10,10
3/14/2013 20:45:03,10,10
3/14/2013 20:51:03,6,8
3/14/2013 20:51:34,1,1
3/14/2013 21:06:07,9,10
3/14/2013 21:07:22,8,2
3/14/2013 21:08:02,2,5
3/14/2013 21:11:08,9,9
3/14/2013 21:12:20,9,10
3/14/2013 21:15:45,10,10
3/14/2013 21:17:58,8,5
3/14/2013 21:19:58,8,7
3/14/2013 21:52:21,8,9
3/14/2013 21:52:46,8,8
3/14/2013 21:56:32,9,9
3/14/2013 22:00:38,5,6
3/14/2013 22:00:46,5,6
3/14/2013 22:01:20,2,3
3/14/2013 22:01:40,2,1
3/14/2013 22:06:03,8,9
3/14/2013 22:13:09,9,8
3/14/2013 22:50:01,9,7
3/14/2013 22:50:03,8,9
